date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
2019-12-01,中国,CN,,,,,1,0,0,0
2019-12-01,中国,CN,湖北省,420000,,,1,0,0,0
2019-12-01,中国,CN,湖北省,420000,武汉市,420100,1,0,0,0
2019-12-02,中国,CN,,,,,1,0,0,0
2019-12-02,中国,CN,湖北省,420000,,,1,0,0,0
2019-12-02,中国,CN,湖北省,420000,武汉市,420100,1,0,0,0
2019-12-03,中国,CN,,,,,1,0,0,0
2019-12-03,中国,CN,湖北省,420000,,,1,0,0,0
2019-12-03,中国,CN,湖北省,420000,武汉市,420100,1,0,0,0
2019-12-04,中国,CN,,,,,1,0,0,0
2019-12-04,中国,CN,湖北省,420000,,,1,0,0,0
2019-12-04,中国,CN,湖北省,420000,武汉市,420100,1,0,0,0
2019-12-05,中国,CN,,,,,1,0,0,0
2019-12-05,中国,CN,湖北省,420000,,,1,0,0,0
2019-12-05,中国,CN,湖北省,420000,武汉市,420100,1,0,0,0
2019-12-06,中国,CN,,,,,1,0,0,0
2019-12-06,中国,CN,湖北省,420000,,,1,0,0,0
2019-12-06,中国,CN,湖北省,420000,武汉市,420100,1,0,0,0
2019-12-07,中国,CN,,,,,1,0,0,0
2019-12-07,中国,CN,湖北省,420000,,,1,0,0,0
2019-12-07,中国,CN,湖北省,420000,武汉市,420100,1,0,0,0
2019-12-08,中国,CN,,,,,1,0,0,0
2019-12-08,中国,CN,湖北省,420000,,,1,0,0,0
2019-12-08,中国,CN,湖北省,420000,武汉市,420100,1,0,0,0
2019-12-09,中国,CN,,,,,1,0,0,0
2019-12-09,中国,CN,湖北省,420000,,,1,0,0,0
2019-12-09,中国,CN,湖北省,420000,武汉市,420100,1,0,0,0
2019-12-10,中国,CN,,,,,1,0,0,0
2019-12-10,中国,CN,湖北省,420000,,,1,0,0,0
2019-12-10,中国,CN,湖北省,420000,武汉市,420100,1,0,0,0
2019-12-11,中国,CN,,,,,4,0,0,0
2019-12-11,中国,CN,湖北省,420000,,,4,0,0,0
2019-12-11,中国,CN,湖北省,420000,武汉市,420100,4,0,0,0
2019-12-12,中国,CN,,,,,4,0,0,0
2019-12-12,中国,CN,湖北省,420000,,,4,0,0,0
2019-12-12,中国,CN,湖北省,420000,武汉市,420100,4,0,0,0
2019-12-13,中国,CN,,,,,4,0,0,0
2019-12-13,中国,CN,湖北省,420000,,,4,0,0,0
2019-12-13,中国,CN,湖北省,420000,武汉市,420100,4,0,0,0
2019-12-14,中国,CN,,,,,4,0,0,0
2019-12-14,中国,CN,湖北省,420000,,,4,0,0,0
2019-12-14,中国,CN,湖北省,420000,武汉市,420100,4,0,0,0
2019-12-15,中国,CN,,,,,6,0,0,0
2019-12-15,中国,CN,湖北省,420000,,,6,0,0,0
2019-12-15,中国,CN,湖北省,420000,武汉市,420100,6,0,0,0
2019-12-16,中国,CN,,,,,6,0,0,0
2019-12-16,中国,CN,湖北省,420000,,,6,0,0,0
2019-12-16,中国,CN,湖北省,420000,武汉市,420100,6,0,0,0
2019-12-17,中国,CN,,,,,7,0,0,0
2019-12-17,中国,CN,湖北省,420000,,,7,0,0,0
2019-12-17,中国,CN,湖北省,420000,武汉市,420100,7,0,0,0
2019-12-18,中国,CN,,,,,8,0,0,0
2019-12-18,中国,CN,湖北省,420000,,,8,0,0,0
2019-12-18,中国,CN,湖北省,420000,武汉市,420100,8,0,0,0
2019-12-19,中国,CN,,,,,9,0,0,0
2019-12-19,中国,CN,湖北省,420000,,,9,0,0,0
2019-12-19,中国,CN,湖北省,420000,武汉市,420100,9,0,0,0
2019-12-20,中国,CN,,,,,14,0,0,0
2019-12-20,中国,CN,湖北省,420000,,,14,0,0,0
2019-12-20,中国,CN,湖北省,420000,武汉市,420100,14,0,0,0
2019-12-21,中国,CN,,,,,18,0,0,0
2019-12-21,中国,CN,湖北省,420000,,,18,0,0,0
2019-12-21,中国,CN,湖北省,420000,武汉市,420100,18,0,0,0
2019-12-22,中国,CN,,,,,21,0,0,0
2019-12-22,中国,CN,湖北省,420000,,,21,0,0,0
2019-12-22,中国,CN,湖北省,420000,武汉市,420100,21,0,0,0
2019-12-23,中国,CN,,,,,29,0,0,0
2019-12-23,中国,CN,湖北省,420000,,,29,0,0,0
2019-12-23,中国,CN,湖北省,420000,武汉市,420100,29,0,0,0
2019-12-24,中国,CN,,,,,30,0,0,0
2019-12-24,中国,CN,湖北省,420000,,,30,0,0,0
2019-12-24,中国,CN,湖北省,420000,武汉市,420100,30,0,0,0
2019-12-25,中国,CN,,,,,33,0,0,0
2019-12-25,中国,CN,湖北省,420000,,,33,0,0,0
2019-12-25,中国,CN,湖北省,420000,武汉市,420100,33,0,0,0
2019-12-26,中国,CN,,,,,35,0,0,0
2019-12-26,中国,CN,湖北省,420000,,,35,0,0,0
2019-12-26,中国,CN,湖北省,420000,武汉市,420100,35,0,0,0
2019-12-27,中国,CN,,,,,37,0,0,0
2019-12-27,中国,CN,湖北省,420000,,,37,0,0,0
2019-12-27,中国,CN,湖北省,420000,武汉市,420100,37,0,0,0
2019-12-28,中国,CN,,,,,37,0,0,0
2019-12-28,中国,CN,湖北省,420000,,,37,0,0,0
2019-12-28,中国,CN,湖北省,420000,武汉市,420100,37,0,0,0
2019-12-29,中国,CN,,,,,37,0,0,0
2019-12-29,中国,CN,湖北省,420000,,,37,0,0,0
2019-12-29,中国,CN,湖北省,420000,武汉市,420100,37,0,0,0
2019-12-30,中国,CN,,,,,37,0,0,0
2019-12-30,中国,CN,湖北省,420000,,,37,0,0,0
2019-12-30,中国,CN,湖北省,420000,武汉市,420100,37,0,0,0
2019-12-31,中国,CN,,,,,40,0,0,0
2019-12-31,中国,CN,湖北省,420000,,,40,0,0,0
2019-12-31,中国,CN,湖北省,420000,武汉市,420100,40,0,0,0
2020-01-01,中国,CN,,,,,43,0,0,0
2020-01-01,中国,CN,湖北省,420000,,,43,0,0,0
2020-01-01,中国,CN,湖北省,420000,武汉市,420100,43,0,0,0
2020-01-02,中国,CN,,,,,44,0,0,0
2020-01-02,中国,CN,湖北省,420000,,,44,0,0,0
2020-01-02,中国,CN,湖北省,420000,武汉市,420100,44,0,0,0
2020-01-03,中国,CN,,,,,41,0,0,0
2020-01-03,中国,CN,湖北省,420000,,,41,0,0,0
2020-01-03,中国,CN,湖北省,420000,武汉市,420100,41,0,0,0
2020-01-04,中国,CN,,,,,41,0,0,0
2020-01-04,中国,CN,湖北省,420000,,,41,0,0,0
2020-01-04,中国,CN,湖北省,420000,武汉市,420100,41,0,0,0
2020-01-05,中国,CN,,,,,41,0,0,0
2020-01-05,中国,CN,湖北省,420000,,,41,0,0,0
2020-01-05,中国,CN,湖北省,420000,武汉市,420100,41,0,0,0
2020-01-06,中国,CN,,,,,41,0,0,0
2020-01-06,中国,CN,湖北省,420000,,,41,0,0,0
2020-01-06,中国,CN,湖北省,420000,武汉市,420100,41,0,0,0
2020-01-07,中国,CN,,,,,41,0,0,0
2020-01-07,中国,CN,湖北省,420000,,,41,0,0,0
2020-01-07,中国,CN,湖北省,420000,武汉市,420100,41,0,0,0
2020-01-08,中国,CN,,,,,41,0,0,0
2020-01-08,中国,CN,湖北省,420000,,,41,0,0,0
2020-01-08,中国,CN,湖北省,420000,武汉市,420100,41,0,0,0
2020-01-09,中国,CN,,,,,41,0,0,0
2020-01-09,中国,CN,湖北省,420000,,,41,0,0,0
2020-01-09,中国,CN,湖北省,420000,武汉市,420100,41,0,0,0
